Regioni,Idrica,Eolica,Fotovoltaica,Geotermica,Bioenergie,Rinnov.% totale,Totale rinnov.,Totale
Lombardia,10373.7,-,2251.8,-,4468.6,36.125006075744984,17094.1,47319.3
Piemonte,7925.5,29.1,1695.2,-,1730.2,37.32714057046891,11380.0,30487.2
Trent.AA-Sudt,9942.7,,433.6,-,420.3,89.83101614956445,10796.7,12018.9
Puglia,4.6,4594.2,3438.2,-,1503.8,31.919919169750216,9540.8,29889.8
Toscana,772.3,223,876.5,6105.4,442.6,52.20318806614214,8419.8,16128.9
Veneto,4203.2,23.1,1990.2,-,2059.5,47.01230977226637,8276.0,17603.9
Em.-Rom.,1054.9,26.9,2187.4,-,2789.3,27.518497826590544,6058.5,22016.1
Sicilia,126.1,3211.3,1788.2,-,262.8,32.885582462650135,5388.5,16385.6
Campania,722.9,2494,877.5,-,1195.2,48.61139191648134,5289.6,10881.4
Calabria,1253.8,2045.5,616.6,-,1280.6,29.671841899399865,5196.4,17512.9
Lazio,1313.4,115.9,1619.2,-,715.9,19.837167022369776,3764.4,18976.5
V.d'Aosta,3540.3,3.5,24.8,-,10.1,98.94384694075035,3578.7,3616.9
Sardegna,419.3,1672.1,906.7,-,439.9,26.17334703665639,3438.0,13135.5
Abruzzi,2071.8,298.8,857.4,-,150.3,61.634313653944396,3378.3,5481.2
Friuli V.G.,1839.1,0,561.6,-,855.0,31.02439489231942,3255.7,10494.0
Basilicata,288.9,2140.2,445.3,-,215.6,87.1776787225639,3090.1,3544.6
Umbria,1782.8,2.8,526.5,-,236.2,78.15260058881256,2548.4,3260.8
Marche,592.3,26.6,1237.4,-,147.2,81.77142857142857,2003.4,2450.0
Molise,291.7,679,214.0,-,164.0,47.21512340276562,1348.7,2856.5
Liguria,266.9,130.4,105.7,-,65.3,10.063383024680428,568.4,5648.2
Italia,48786.20000000002,17716.399999999998,22653.800000000003,6105.4,19152.399999999998,39.49301400512654,114414.49999999999,289708.19999999995
